Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,100,140066,67122,252923,256292,258370,15999,263686,"50,000%",",25677","619,96","6,97"
Thread Group:Test,100,140066,67122,252923,256292,258370,15999,263686,"50,000%",",25673","619,87","6,97"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637106248412&idOrganizacion=82926288004&registrarAcceso=Inicio,50,87049,81728,116290,117514,144164,46708,144164,"100,000%",",18773","13,71","10,03"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637106263701,50,86278,89634,98014,99568,116442,47430,116442,"100,000%",",23725","16,78","12,68"
Thread Group:Ingreso al aula,50,173327,172563,198622,200438,246299,99568,246299,"100,000%",",13414","19,28","14,33"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637106265146&registrarAcceso=Evaluaciones,50,75975,76018,93365,95300,110608,54373,110608,"100,000%",",24037","33,39","13,27"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,8111,305,20432,21405,22738,34,23169,"0,000%",",64215","0,42","0,37"
Thread Group:Ingreso a 'Evaluaciones',50,92199,93779,105096,111001,126425,61869,126425,"100,000%",",19955","27,98","11,25"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637106291252&registrarAcceso=Realizar_Examen&idExamen=91639862682&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,68161,71403,76404,79965,92707,40173,92707,"100,000%",",24695","16,13","12,82"
Thread Group:Rendir examen,50,68161,71403,76404,79965,92707,40173,92707,"100,000%",",22593","14,75","11,73"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639862682&time1=01&time2=59&time3=32,50,15375,15710,19390,19696,22627,70,22627,"0,000%",",36987","0,17","0,39"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639862682&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639885146&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,102,71,137,303,380,58,380,"0,000%",",42775","0,20","0,29"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,77,44,113,341,416,31,586,"0,000%",",85318","0,22","0,43"
Thread Group:1er pregunta,50,15552,15885,19545,20210,22968,232,22968,"0,000%",",36961","0,44","0,82"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639862682&time1=01&time2=59&time3=06,50,106,77,145,309,360,49,360,"0,000%",",42732","0,19","0,45"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639862682&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639885146&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,82,68,127,129,346,45,346,"0,000%",",42734","0,20","0,29"
Thread Group:2da pregunta,50,270,219,447,463,723,141,723,"0,000%",",42692","0,50","0,95"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637106307324,50,58495,57674,74300,76941,80481,27347,80481,"100,000%",",21746","13,99","12,16"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639862682/ALUMNO3_DEMO_Doc99999003_Examen_entregaExamen_16-11-2021_20_46_27_p._m..html,50,32453,30719,40350,41392,60324,26512,60324,"100,000%",",20586","1,20","0,54"
Thread Group:3er pregunta,50,90949,89276,109753,113132,138813,57097,138813,"100,000%",",15305","10,74","8,95"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,85239,74427,131897,135513,154528,47533,154528,"22,000%",",15974","226,16","4,32"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,120671,125206,157808,163511,174270,55005,174270,"48,000%",",14822","633,15","4,86"
Thread Group:Cierre de sesión ,50,205911,210056,245786,255609,273732,102538,273732,"54,000%",",12350","702,41","7,39"
Total,1350,68629,56923,190395,240562,256292,31,273732,"49,037%","1,10496","895,28","32,10"
