Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,50,72201,74474,79750,81669,84867,38613,84867,"100,000%",",58685","2656,82","32,31"
Thread Group:Test,50,72201,74474,79750,81669,84867,38613,84867,"100,000%",",58646","2655,05","32,28"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637114041007&idOrganizacion=82926288004&registrarAcceso=Inicio,50,52129,51090,67348,68821,82524,30025,82524,"100,000%",",37709","26,57","20,14"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637114056134,50,57995,56152,73462,78345,87010,29034,87010,"100,000%",",33252","23,52","17,77"
Thread Group:Ingreso al aula,50,110125,114943,133484,133931,139668,74093,139668,"100,000%",",25173","35,54","26,90"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637114057423&registrarAcceso=Evaluaciones,50,58285,58176,67614,78157,86081,42176,86081,"100,000%",",31461","43,71","17,37"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,6748,46,14996,15542,16673,37,16815,"0,000%",",99842","0,66","0,57"
Thread Group:Ingreso a 'Evaluaciones',50,71783,71166,82814,90566,100356,55301,100356,"100,000%",",26662","37,39","15,03"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637114076773&registrarAcceso=Realizar_Examen&idExamen=91639855652&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,41373,39614,49918,52394,58775,26522,58775,"100,000%",",40823","26,66","21,19"
Thread Group:Rendir examen,50,41373,39614,49918,52394,58775,26522,58775,"100,000%",",34244","22,36","17,77"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639855652&time1=01&time2=59&time3=43,50,9008,9645,13833,14116,14443,68,14443,"0,000%",",61700","0,28","0,62"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639855652&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91640197747&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,66,66,70,72,93,60,93,"0,000%",",74310","0,35","0,50"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,41,41,45,46,50,35,55,"0,000%","1,48350","0,38","0,75"
Thread Group:1er pregunta,50,9117,9751,13962,14228,14560,180,14560,"0,000%",",61620","0,73","1,34"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639855652&time1=01&time2=59&time3=26,50,67,67,71,72,79,61,79,"0,000%",",74358","0,34","0,75"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639855652&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91640197747&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,66,66,72,72,75,62,75,"0,000%",",74370","0,35","0,50"
Thread Group:2da pregunta,50,175,174,185,187,192,162,192,"0,000%",",74236","0,88","1,62"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637114100578,50,32326,31011,52498,55923,61200,9141,61200,"100,000%",",33509","21,75","18,67"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639855652/ALUMNO2_DEMO_Doc99999002_Examen_entregaExamen_16-11-2021_22_56_03_p._m..html,50,19265,22176,26333,27508,39131,83,39131,"100,000%",",30230","1,63","0,79"
Thread Group:3er pregunta,50,51592,53749,76687,80970,98304,9224,98304,"100,000%",",21353","15,01","12,45"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,35489,38272,47720,52227,55749,4915,55749,"32,000%",",24284","350,53","6,57"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,33765,34447,47963,51678,52596,12301,52596,"34,000%",",23499","1094,42","7,83"
Thread Group:Cierre de sesión,50,69255,68220,93775,95007,105446,17216,105446,"52,000%",",22183","1353,37","13,39"
Total,1250,34049,31011,76687,85425,124306,35,139668,"52,720%","2,07721","1835,82","65,35"
