Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,50,218662,232689,259369,259699,261993,131485,261993,"100,000%",",18825","880,45","10,00"
Thread Group:Test,50,218662,232689,259369,259699,261993,131485,261993,"100,000%",",18825","880,45","10,00"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637106561382&idOrganizacion=82926288004&registrarAcceso=Inicio,50,75175,69062,113833,116424,124422,43658,124422,"100,000%",",22628","45,72","12,07"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637106578726,50,62519,61207,80341,84564,127161,35237,127161,"100,000%",",25130","17,78","13,43"
Thread Group:Ingreso al aula,50,137695,133638,167900,182363,201741,97123,201741,"100,000%",",14712","40,14","15,71"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637106580109&registrarAcceso=Evaluaciones,50,64931,61886,78414,82817,95421,40126,95421,"100,000%",",21943","30,48","12,12"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,7465,1413,16351,17052,19217,33,21576,"0,000%",",54940","0,36","0,32"
Thread Group:Ingreso a 'Evaluaciones',50,79861,77392,95843,101225,110694,41225,110694,"100,000%",",19703","27,63","11,10"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637106611343&registrarAcceso=Realizar_Examen&idExamen=91639866102&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,54263,55799,68389,70363,75989,27414,75989,"100,000%",",25152","16,43","13,06"
Thread Group:Rendir examen,50,54263,55799,68389,70363,75989,27414,75989,"100,000%",",23409","15,29","12,15"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639866102&time1=01&time2=59&time3=32,50,11707,13795,15768,16765,18910,59,18910,"0,000%",",34976","0,16","0,36"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639866102&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639887085&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,72,65,81,92,348,53,348,"0,000%",",39218","0,19","0,26"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,51,39,52,65,305,30,598,"0,000%",",78345","0,20","0,39"
Thread Group:1er pregunta,50,11827,13931,15878,16872,19009,155,19009,"0,000%",",34952","0,41","0,77"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639866102&time1=01&time2=58&time3=51,50,76,65,79,101,319,54,319,"0,000%",",39218","0,18","0,41"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639866102&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639887085&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,70,65,78,80,313,56,313,"0,000%",",39216","0,19","0,26"
Thread Group:2da pregunta,50,204,169,234,427,744,147,744,"0,000%",",39185","0,46","0,87"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637106635135,50,45451,41381,64994,78037,105583,17742,105583,"100,000%",",18357","11,83","10,25"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639866102/ALUMNO4_DEMO_Doc99999004_Examen_entregaExamen_16-11-2021_20_52_16_p._m..html,50,25837,25154,39823,41061,51519,14485,51519,"100,000%",",20531","1,21","0,53"
Thread Group:3er pregunta,50,71289,66535,100276,110496,124644,35406,124644,"100,000%",",17058","12,00","9,97"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,75881,71586,112014,120875,138146,28037,138146,"34,000%",",14703","211,60","3,97"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,89451,75677,134006,139486,148389,34022,148389,"52,000%",",14435","622,92","4,77"
Thread Group:Cierre de sesion,50,165333,175928,205454,209310,215022,82526,215022,"62,000%",",12563","722,95","7,54"
Total,1250,59131,45361,161224,221590,258575,30,261993,"53,920%","1,29931","1141,59","40,65"
