Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,50,101725,106974,110282,110472,111064,62151,111064,"100,000%",",43154","1973,85","23,20"
Thread Group:Test,50,101725,106974,110282,110472,111064,62151,111064,"100,000%",",43153","1973,80","23,20"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637107836047&idOrganizacion=82926288004&registrarAcceso=Inicio,50,57796,56519,73154,76692,85706,26503,85706,"100,000%",",36542","25,74","19,52"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637107851196,50,59610,59014,71529,83274,93372,19733,93372,"100,000%",",29953","21,19","16,01"
Thread Group:Ingreso al aula,50,117407,118391,142924,146374,156621,82903,156621,"100,000%",",22164","31,29","23,69"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637107852478&registrarAcceso=Evaluaciones,50,56746,55415,73928,75288,96118,40205,96118,"100,000%",",28481","39,57","15,73"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,7666,11193,16348,17433,20401,36,21448,"0,000%",",89008","0,58","0,51"
Thread Group:Ingreso a 'Evaluaciones',50,72079,71032,89603,91891,129887,54245,129887,"100,000%",",24892","34,91","14,03"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107872156&registrarAcceso=Realizar_Examen&idExamen=91639852353&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,44461,42833,61399,65779,69815,25821,69815,"100,000%",",36102","23,58","18,74"
Thread Group:Rendir examen,50,44461,42833,61399,65779,69815,25821,69815,"100,000%",",34565","22,57","17,94"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639852353&time1=01&time2=59&time3=38,50,11111,11133,17167,18137,20184,62,20184,"0,000%",",48511","0,22","0,46"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639852353&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639896961&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,64,65,68,69,72,46,72,"0,000%",",56727","0,27","0,38"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,40,41,43,44,46,36,46,"0,000%","1,13248","0,29","0,57"
Thread Group:1er pregunta,50,11215,11235,17269,18247,20294,162,20294,"0,000%",",48455","0,57","1,03"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639852353&time1=01&time2=59&time3=18,50,66,66,69,70,76,57,76,"0,000%",",56722","0,26","0,54"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639852353&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639896961&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,64,65,69,69,73,45,73,"0,000%",",56722","0,27","0,38"
Thread Group:2da pregunta,50,171,172,179,181,185,145,185,"0,000%",",56651","0,67","1,20"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107893332,50,29474,31172,47619,49351,67273,998,67273,"100,000%",",30021","19,40","16,73"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639852353/ALUMNO4_DEMO_Doc99999004_Examen_entregaExamen_16-11-2021_21_12_45_p._m..html,50,17716,21264,25427,25674,26883,85,26883,"100,000%",",30156","1,72","0,79"
Thread Group:3er pregunta,50,47191,54905,69872,72536,87916,1084,87916,"100,000%",",19724","13,87","11,50"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,31947,34228,44673,45290,64297,1031,64297,"34,000%",",24439","349,02","6,60"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,31102,32266,44187,48241,51236,1897,51236,"30,000%",",23320","1076,52","7,77"
Thread Group:Cierre de sesion,50,63049,68283,81911,85200,86845,3119,86845,"56,000%",",22475","1358,48","13,56"
Total,1250,36584,27266,95085,107853,134150,36,156621,"52,800%","1,94130","1714,22","60,84"
