Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,50,180475,196784,211241,212128,225601,80384,225601,"100,000%",",21920","1026,19","11,63"
Thread Group:Test,50,180475,196784,211241,212128,225601,80384,225601,"100,000%",",21920","1026,18","11,63"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637107249716&idOrganizacion=82926288004&registrarAcceso=Inicio,50,76179,71926,105863,120255,136897,37825,136897,"100,000%",",22017","27,46","11,73"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637107263241,50,57990,56345,72846,75864,86694,39623,86694,"100,000%",",26485","18,76","14,14"
Thread Group:Ingreso al aula,50,134170,133794,171930,184675,202397,89654,202397,"100,000%",",15567","30,45","16,60"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637107264681&registrarAcceso=Evaluaciones,50,61896,58681,84078,92076,99458,34807,99458,"100,000%",",25935","36,10","14,29"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,6000,61,14297,14581,16697,33,18541,"0,000%",",61024","0,40","0,35"
Thread Group:Ingreso a 'Evaluaciones',50,73896,71051,100128,105839,113994,45941,113994,"100,000%",",22790","32,02","12,82"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107287975&registrarAcceso=Realizar_Examen&idExamen=91639870164&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,45531,43883,62260,64724,65601,18528,65601,"100,000%",",31783","20,78","16,49"
Thread Group:Rendir examen,50,45531,43883,62260,64724,65601,18528,65601,"100,000%",",28563","18,67","14,82"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639870164&time1=01&time2=59&time3=19,50,9436,10463,13860,13989,14453,195,14453,"0,000%",",40471","0,18","0,41"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639870164&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639893112&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,252,73,151,601,5107,56,5107,"0,000%",",44566","0,21","0,30"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,302,44,98,286,8400,0,13003,"1,000%",",88864","0,24","0,44"
Thread Group:1er pregunta,50,9803,10982,14159,14555,15328,422,15328,"2,000%",",40356","0,49","0,87"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639870164&time1=01&time2=58&time3=34,50,643,77,327,582,12904,60,12904,"0,000%",",44530","0,20","0,45"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639870164&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639893112&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,89,71,97,125,838,0,838,"4,000%",",44521","0,24","0,29"
Thread Group:2da pregunta,50,1224,196,479,1526,21383,150,21383,"4,000%",",44451","0,55","0,96"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107320639,50,27192,31577,48336,50557,58663,1566,58663,"100,000%",",21476","14,04","11,93"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639870164/ALUMNO1_DEMO_Doc99999001_Examen_entregaExamen_16-11-2021_21_04_36_p._m..html,50,12910,14255,23563,23832,26766,97,26766,"100,000%",",19795","1,08","0,52"
Thread Group:3er pregunta,50,40103,49445,69180,75775,82226,2363,82226,"100,000%",",12574","8,91","7,31"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,36877,39571,53670,56837,84711,1944,84711,"30,000%",",15449","221,28","4,15"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,53499,54356,83414,87019,88464,9471,88464,"40,000%",",14109","643,46","4,68"
Thread Group:Cierre de sesión ,50,90376,95655,126357,126885,137373,13792,137373,"56,000%",",13353","800,22","8,02"
Total,1250,46046,26929,126706,176227,210967,0,225601,"53,520%","1,32632","1182,98","41,42"
