Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/index.jsp,50,161232,164776,196946,198962,201309,73097,201309,"100,000%",",24303","1113,87","13,36"
Thread Group:Test,50,161232,164776,196946,198962,201309,73097,201309,"100,000%",",24300","1113,73","13,36"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/index.jsp?idAula=82927038087&REFRESH=1637107020940&idOrganizacion=82926288004&registrarAcceso=Inicio,50,68482,62340,92031,99301,140460,44237,140460,"100,000%",",18166","12,96","9,70"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/index.jsp?idAula=82927038087&idOrganizacion=82926288004&idComision=82927038125&registrarAcceso=Inicio&REFRESH=1637107037188,50,60070,59388,80264,81298,94831,30997,94831,"100,000%",",23096","16,34","12,34"
Thread Group:Ingreso al aula,50,128552,126163,157885,169679,195457,81245,195457,"100,000%",",14365","20,41","15,35"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_examenautoexamen.jsp?REFRESH=1637107038496&registrarAcceso=Evaluaciones,50,50229,49074,60139,64159,82660,30487,82660,"100,000%",",22410","31,13","12,37"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/js/jQuery/pluging/tablas/DataTables-1.10.18/Spanish.json,100,6030,531,13160,13931,15155,34,16070,"0,000%",",51873","0,34","0,30"
Thread Group:Ingreso a 'Evaluaciones',50,62289,60569,71667,76071,96240,44048,96240,"100,000%",",19038","26,70","10,73"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107060461&registrarAcceso=Realizar_Examen&idExamen=91639859526&tipoDisp=no-movil&sistOp=Linux%20x86_64&navegador=Safari,50,48294,47062,59765,61122,64037,32515,64037,"100,000%",",21724","14,19","11,28"
Thread Group:Rendir examen,50,48294,47062,59765,61122,64037,32515,64037,"100,000%",",20001","13,06","10,38"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639859526&time1=01&time2=59&time3=39,50,9894,10274,13671,13783,14412,70,14412,"0,000%",",25561","0,12","0,24"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639859526&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639891027&ordenPregunta=2&paso=2&ES_ALUMNO_RINDIENDO=SI,50,79,70,77,78,319,45,319,"0,000%",",25560","0,12","0,17"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/actualizarSession.jsp,100,49,45,53,57,279,31,283,"0,000%",",51128","0,13","0,26"
Thread Group:1er pregunta,50,10019,10387,13796,13880,14532,185,14532,"0,000%",",25542","0,30","0,54"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_ajax_metodo_generico.jsp?idGuardandoEvaluacion=91639859526&time1=01&time2=59&time3=17,50,75,70,79,84,316,55,316,"0,000%",",25587","0,12","0,24"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_mostrar_pregunta.jsp?RealizandoCuestionario=false&idEvaluacion=91639859526&nrosPreguntas=1-2-3&tipoEvaluacion=Examen&idExFin=91639891027&ordenPregunta=3&paso=3&ES_ALUMNO_RINDIENDO=SI,50,89,68,88,91,595,52,595,"0,000%",",25586","0,12","0,17"
Thread Group:2da pregunta,50,218,181,409,438,732,150,732,"0,000%",",25569","0,30","0,54"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/siat/carrera/materia/comision/comision_rendir_examen.jsp?REFRESH=1637107082347,50,43470,41428,55992,63030,81872,23344,81872,"100,000%",",20031","12,94","11,16"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/archivos/idAula82927038087/evaluaciones/91639859526/ALUMNO2_DEMO_Doc99999002_Examen_entregaExamen_16-11-2021_20_59_17_p._m..html,50,26645,25808,36007,36218,80472,99,80472,"100,000%",",17381","0,97","0,45"
Thread Group:3er pregunta,50,70115,65956,92501,95030,162344,41863,162344,"100,000%",",14877","10,44","8,68"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/conexion_cerrada.jsp,50,55036,50423,81998,83020,97495,11856,97495,"26,000%",",15615","226,09","4,22"
Thread Group:https://prueba.evelia.unrc.edu.ar/siat2Responsivo/index.jsp,50,74844,69541,103241,110938,116512,11183,116512,"40,000%",",16913","737,05","5,60"
Thread Group:Cierre de sesion,50,129880,134542,158286,166721,179587,58366,179587,"48,000%",",14857","862,56","8,94"
Total,1250,48848,42033,135264,162930,196936,31,201309,"52,560%","1,56701","1355,04","49,24"
